Course,Title,Requirement
ENGL 12000,Expository Writing,English Composition 1
ENGL 22000,Intro:Writing about Literature,English Composition 2
AFPRL 23800,Intro Lit African Diaspora,English Composition 2
ASIAN 22100,Intro: Writ About Asian Am Lit,English Composition 2
ENGL 12000,Expository Writing,English Composition 2
ENGL 22000,Intro:Writing about Literature,English Composition 2
MEDIA 21100,News Literacy in a Digital Age,English Composition 2
CSCI 12100,Computers & Money: Quant,Mathematical and Quantitative Reasoning
ECO 22100,Economic Statistics,Mathematical and Quantitative Reasoning
MATH 10000,Basic Structures of Math,Mathematical and Quantitative Reasoning
MATH 10200,Math in Everyday Life,Mathematical and Quantitative Reasoning
MATH 10400,Math for Elem Educ I,Mathematical and Quantitative Reasoning
MATH 12400,College Algebra & Trig,Mathematical and Quantitative Reasoning
MATH 12500,Precalculus,Mathematical and Quantitative Reasoning
MATH 12550,Precalculus with Workshop,Mathematical and Quantitative Reasoning
MATH 15000,Calculus I,Mathematical and Quantitative Reasoning
MATH 15200,Calc for Life and Soc Science,Mathematical and Quantitative Reasoning
MATH 15500,Calculus 2,Mathematical and Quantitative Reasoning
STAT 11300,Elem Prob & Stat,Mathematical and Quantitative Reasoning
STAT 21200,Discrete Probability,Mathematical and Quantitative Reasoning
STAT 21300,Introduction to Applied Stat,Mathematical and Quantitative Reasoning
ANTHP 10100,Human Evolution,Life and Physical Sciences
ANTHP 10500,The Human Species,Life and Physical Sciences
ASTRO 10200,Lab Explorations in Astronomy,Life and Physical Sciences
BIOL 10000,Principles of Biology 1,Life and Physical Sciences
BIOL 10500,Introduction to Genome Biology,Life and Physical Sciences
BIOL 10700,Biol & Genetics of Personal ID,Life and Physical Sciences
BIOL 12500,Human Biology,Life and Physical Sciences
BIOL 15000,CSI:Hunter (Forensic Biology),Life and Physical Sciences
CHEM 10100,Inquiries - Nature of Matter,Life and Physical Sciences
CHEM 101LB,Essential of General Chem-Lab,Life and Physical Sciences
CHEM 10300,General Chemistry 1 (Lab),Life and Physical Sciences
CHEM 10500,General Chemistry 2 (Lab),Life and Physical Sciences
CHEM 10600,General Chemistry Lab,Life and Physical Sciences
CHEM 11100,Chemical Principles,Life and Physical Sciences
CHEM 12000,Essen Organic Chemistry (Lec),Life and Physical Sciences
CHEM 12100,Ess of Organic Chemistry -Lab,Life and Physical Sciences
GEOL 10100,Introductory Geology Lab,Life and Physical Sciences
PGEOG 13000,Weather and Climate,Life and Physical Sciences
PHYS 10100,Basic Concepts:Physics Lab,Life and Physical Sciences
PHYS 11000,Gen Mech-Heat-Snd,Life and Physical Sciences
PHYS 11100,Gen Mech-Heat-Snd,Life and Physical Sciences
ANTHC 12700,Methods Archaeological Sci,Scientific World
ANTHP 10200,Human Variation,Scientific World
ASTRO 10000,Basic Concepts in Astronomy,Scientific World
BIOL 10200,Principles of Biology 2,Scientific World
BIOL 17500,Choreographing Genomics,Scientific World
CHEM 10000,Essen-General Chemistry (Lec),Scientific World
CHEM 10200,General Chemistry 1,Scientific World
CHEM 10400,General Chemistry 2,Scientific World
CHEM 11200,Thermodynamics & Solution Chem,Scientific World
CSCI 12000,Introduction to Computers,Scientific World
CSCI 12700,Introduction: Computer Science,Scientific World
CSCI 13200,Practical Unix Programming Lab,Scientific World
CSCI 13300,Programing for Everyone,Scientific World
GEOL 10000,Introduction to Geology,Scientific World
GEOL 10500,Intro to Envir Studies,Scientific World
GEOL 18000,Introduction to Oceanography,Scientific World
NFS 14100,Nutrition I,Scientific World
PHILO 17000,Intro Log & Sci Meth,Scientific World
PHILO 27000,"Philosophy, Science & Culture",Scientific World
PHYS 10000,Basics Concepts of Physics,Scientific World
PHYS 12000,Gen Elec-Magnetsm,Scientific World
PHYS 12100,Gen Elec-Magnetsm,Scientific World
SCI 11100,"Brains, Minds, and Machines",Scientific World
ARB 25000,The Arab Novel in Translation,Creative Expression
ARB 25100,Arab Cinema in Translation,Creative Expression
ARB 25400,Arabian Night Translation,Creative Expression
ASIAN 22500,Asian American Art,Creative Expression
DAN 10200,Dance in Culture,Creative Expression
DAN 10N00,Design and Dance,Creative Expression
DAN 23200,Global Dance History,Creative Expression
ENGL 25001,American Noir,Creative Expression
ENGL 25031,Sex & Gender Harlem Renaiss,Creative Expression
ENGL 25032,Shirtwaist Factory,Creative Expression
ENGL 25033,What Reading does w/the Body,Creative Expression
ENGL 25034,Meme as Internet Discourse,Creative Expression
ENGL 25035,Writ Behnd Bars Gulag Cult Leg,Creative Expression
ENGL 25036,Sp Tp Paranoia in Literature,Creative Expression
ENGL 25037,American War Stories,Creative Expression
ENGL 25038,Comic and Graphic Novels,Creative Expression
ENGL 25039,Narrative Medicine,Creative Expression
ENGL 25040,Zora Neale Hurston,Creative Expression
ENGL 25041,Whiteness Studies,Creative Expression
ENGL 25043,Assimilation in US Literature,Creative Expression
ENGL 25045,Writers and Artists,Creative Expression
ENGL 25048,Women and Language,Creative Expression
ENGL 25049,American Modern Fiction,Creative Expression
ENGL 25050,Special Topics: Short Story,Creative Expression
ENGL 25051,Humor in Literature,Creative Expression
ENGL 25052,The Outsider in Literature,Creative Expression
ENGL 25053,The American Fifties,Creative Expression
ENGL 25054,19th Cent British Literature,Creative Expression
ENGL 25055,Literature on Banned Books,Creative Expression
ENGL 25056,American Immigrant Literature,Creative Expression
ENGL 25057,Intro Latin Amer Literature,Creative Expression
ENGL 25058,Comic Vision,Creative Expression
ENGL 25059,Tragic Vision,Creative Expression
ENGL 25060,Holocaust Poetry,Creative Expression
ENGL 25062,Slf Rprsnt:American Poetry,Creative Expression
ENGL 25063,Britain & American Drama WW 2,Creative Expression
ENGL 25064,Oppress & Res in Literature,Creative Expression
ENGL 25065,The Fantastic in Lit,Creative Expression
ENGL 25066,Literature and Law,Creative Expression
ENGL 25067,Heroines,Creative Expression
ENGL 25068,Natrlst Cty:American Lit & Fl,Creative Expression
ENGL 25069,19th Century Women Writers,Creative Expression
ENGL 25070,Jewish-American Literature,Creative Expression
ENGL 25071,18th Century British Gothic,Creative Expression
ENGL 25072,Women Centered Literature,Creative Expression
ENGL 25073,The Moderns,Creative Expression
ENGL 25074,Arthurian Literature,Creative Expression
ENGL 25075,Poetic Techniques,Creative Expression
ENGL 25076,Minority and Colony Literature,Creative Expression
ENGL 25077,Gender & Gnr: Asian Amer Lit,Creative Expression
ENGL 25078,Latina Writing,Creative Expression
ENGL 25079,19th Cent Britain Lit & Art,Creative Expression
ENGL 25080,Black Women Literature Artists,Creative Expression
ENGL 25081,Med Women:Sexuality & Power,Creative Expression
ENGL 25082,Topic: Irish Literature,Creative Expression
ENGL 25083,Topics in Literature,Creative Expression
ENGL 25084,Lt Res to Revblk-Dic,Creative Expression
ENGL 25085,Cla Txts/Mod Context,Creative Expression
ENGL 25086,Science Fiction,Creative Expression
ENGL 25087,Transnational American,Creative Expression
ENGL 25088,Survey African-Amer Literature,Creative Expression
ENGL 25089,Race & Class:20th Cent Fiction,Creative Expression
ENGL 25090,High Fantasy,Creative Expression
ENGL 25091,Sp Tp:War & Literature Imagin,Creative Expression
ENGL 25092,Black Women Writers,Creative Expression
ENGL 25093,Sp Tp:Multiclt Amer Writers,Creative Expression
ENGL 25094,Poetry and Politics,Creative Expression
ENGL 25095,Topics in Literature,Creative Expression
ENGL 25096,Survey Asian American Lit,Creative Expression
ENGL 25097,U.S. Originals,Creative Expression
ENGL 25098,Lit: American Values & Ideals,Creative Expression
ENGL 25099,Topics in Literature,Creative Expression
ENGL 25145,Playing Detective,Creative Expression
ENGL 25146,The Literature of Waiting,Creative Expression
ENGL 25147,Teacher/Student in Literature,Creative Expression
ENGL 25148,20th Cent African American Lit,Creative Expression
ENGL 25149,Queer Melancholia,Creative Expression
ENGL 25150,Rhetoric Pres Speech,Creative Expression
ENGL 25151,Major Poets,Creative Expression
ENGL 25152,Language and Literature,Creative Expression
ENGL 25153,Shakespeare's Roman Plays,Creative Expression
ENGL 25154,Fiction and Autobiography,Creative Expression
ENGL 25155,20th Cent Southern Literature,Creative Expression
ENGL 25156,Wharton & James,Creative Expression
ENGL 25157,Early 20th Century Fiction,Creative Expression
ENGL 25158,Reading India,Creative Expression
ENGL 25159,Mystery Short Story,Creative Expression
ENGL 25160,Writer as Reporter,Creative Expression
ENGL 25161,Literary Dublin,Creative Expression
ENGL 25162,Culture&Literature:Vietnam War,Creative Expression
ENGL 25163,Prose&Poetry: Great Depression,Creative Expression
ENGL 25164,American Short Story,Creative Expression
ENGL 25165,Probing:Female Psyche,Creative Expression
ENGL 25166,New York Writers,Creative Expression
ENGL 25168,Amer Trad:Asian Amer Lit,Creative Expression
ENGL 25169,Writer In his Time,Creative Expression
ENGL 25170,Topics in Literature,Creative Expression
ENGL 25171,Modern Sexualities-Literature,Creative Expression
ENGL 25172,Upton Fiction&Social Disorder,Creative Expression
ENGL 25173,Literature: Harlem Renaissance,Creative Expression
ENGL 25174,Amer Women Wtrs:Late 19th Cent,Creative Expression
ENGL 25175,Topics in Literature,Creative Expression
ENGL 25176,Creating:American Nation,Creative Expression
ENGL 25177,Cnstr of Meaning -Lt,Creative Expression
ENGL 25178,African Amer Writing 1900-1940,Creative Expression
